,,,Q1,,,,,Q2,,,,,Q3,,,,,Q4,,,,,Q5,,,,,Q6,,,,,Q7,,,,,Q8,,,
Roll,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e,a,b,c,d,e
1907001,9,5,8,,,0,7,2,,,3,1,5,,,,,,,,,,,,,9,9,3,,,9,10,5,,,4,6,3,,
1907002,6,3,3,,,9,9,7,,,4,5,2,,,,,,,,,,,,,5,5,0,,,2,4,1,,,8,6,5,,
1907003,10,3,1,,,3,7,7,,,7,10,2,,,,,,,,,,,,,3,6,1,,,0,3,9,,,4,8,10,,
1907004,2,0,8,,,4,0,2,,,9,1,9,,,,,,,,,,,,,10,7,8,,,8,5,4,,,4,7,1,,
1907005,3,10,4,,,5,7,3,,,5,1,4,,,,,,,,,,,,,6,2,9,,,3,5,10,,,1,7,0,,
1907006,4,2,9,,,10,4,5,,,9,8,0,,,,,,,,,,,,,10,7,7,,,2,5,8,,,3,8,10,,
1907007,9,4,4,,,2,8,10,,,4,8,9,,,,,,,,,,,,,0,0,4,,,10,5,3,,,1,0,6,,
1907008,6,6,8,,,4,5,7,,,7,8,1,,,,,,,,,,,,,0,1,6,,,0,7,8,,,1,3,8,,
1907009,2,10,6,,,1,4,5,,,0,5,0,,,,,,,,,,,,,9,4,5,,,10,2,1,,,0,2,1,,
1907010,3,9,8,,,8,7,1,,,9,0,3,,,,,,,,,,,,,5,9,7,,,4,4,4,,,6,5,7,,
1907011,9,3,9,,,5,3,8,,,1,8,0,,,,,,,,,,,,,3,0,5,,,10,8,3,,,2,1,8,,
1907012,4,9,5,,,5,7,10,,,2,2,5,,,,,,,,,,,,,7,10,10,,,5,4,6,,,5,8,4,,
1907013,5,5,6,,,1,10,4,,,1,2,7,,,,,,,,,,,,,5,10,5,,,3,3,10,,,6,2,7,,
1907014,5,6,7,,,7,9,6,,,9,5,10,,,,,,,,,,,,,3,6,5,,,5,4,3,,,10,3,3,,
1907015,6,8,6,,,10,3,1,,,10,4,0,,,,,,,,,,,,,5,6,6,,,2,5,3,,,8,6,8,,
1907016,10,3,7,,,9,2,5,,,7,1,9,,,,,,,,,,,,,7,9,2,,,0,1,2,,,5,0,8,,
1907017,9,6,8,,,0,5,1,,,6,2,5,,,,,,,,,,,,,8,8,4,,,4,7,2,,,8,9,4,,
1907018,9,7,3,,,1,10,5,,,6,7,2,,,,,,,,,,,,,10,4,10,,,8,6,4,,,3,10,9,,
1907019,5,10,2,,,2,8,5,,,0,4,0,,,,,,,,,,,,,6,6,2,,,8,2,9,,,8,5,5,,
1907020,8,3,1,,,2,5,10,,,3,3,2,,,,,,,,,,,,,0,10,6,,,6,4,7,,,8,0,8,,
1907021,0,1,5,,,5,2,10,,,7,8,3,,,,,,,,,,,,,9,6,6,,,2,9,6,,,0,1,2,,
1907022,6,7,9,,,6,6,0,,,1,1,1,,,,,,,,,,,,,3,4,4,,,10,10,7,,,3,8,8,,
1907023,6,6,0,,,5,9,9,,,5,1,1,,,,,,,,,,,,,8,9,0,,,1,1,10,,,1,2,6,,
1907024,10,8,7,,,6,2,9,,,2,2,8,,,,,,,,,,,,,6,5,6,,,0,6,7,,,10,4,7,,
1907025,10,2,4,,,5,6,9,,,7,1,4,,,,,,,,,,,,,7,1,6,,,4,6,8,,,7,5,8,,
1907026,3,5,2,,,8,8,0,,,10,1,2,,,,,,,,,,,,,2,7,6,,,6,2,4,,,3,10,2,,
1907027,10,2,9,,,7,9,0,,,3,1,8,,,,,,,,,,,,,1,1,3,,,4,5,0,,,8,2,10,,
1907028,4,3,10,,,0,4,9,,,6,2,10,,,,,,,,,,,,,10,6,0,,,6,2,0,,,0,8,7,,
1907029,5,3,4,,,3,10,1,,,10,7,2,,,,,,,,,,,,,2,10,3,,,10,2,10,,,4,4,10,,
1907030,6,5,7,,,2,6,1,,,6,1,9,,,,,,,,,,,,,1,6,3,,,6,8,9,,,1,3,0,,
1907031,7,0,8,,,3,8,0,,,7,6,0,,,,,,,,,,,,,6,3,5,,,9,7,4,,,6,4,0,,
1907032,1,1,1,,,0,2,3,,,4,7,1,,,,,,,,,,,,,8,5,2,,,5,10,9,,,5,1,3,,
1907033,3,6,2,,,9,8,7,,,8,10,5,,,,,,,,,,,,,5,0,2,,,9,3,6,,,5,1,6,,
1907034,10,7,10,,,7,9,10,,,0,8,9,,,,,,,,,,,,,6,9,3,,,10,7,1,,,4,1,7,,
1907035,4,9,2,,,3,5,8,,,2,2,5,,,,,,,,,,,,,7,5,10,,,9,7,5,,,7,3,1,,
1907036,8,4,0,,,0,9,7,,,2,6,5,,,,,,,,,,,,,10,4,9,,,0,4,3,,,3,0,10,,
1907037,7,2,7,,,10,0,10,,,2,6,10,,,,,,,,,,,,,3,1,5,,,3,4,1,,,4,2,6,,
1907038,5,5,0,,,4,9,7,,,6,3,4,,,,,,,,,,,,,2,10,6,,,8,6,1,,,10,9,5,,
1907039,6,1,2,,,4,1,5,,,10,1,6,,,,,,,,,,,,,6,5,0,,,7,4,1,,,7,4,1,,
1907040,6,9,7,,,8,4,7,,,3,2,4,,,,,,,,,,,,,10,10,9,,,7,9,4,,,4,0,10,,
1907041,6,4,6,,,0,3,3,,,10,1,1,,,,,,,,,,,,,4,5,10,,,7,1,2,,,4,4,2,,
1907042,1,7,4,,,6,8,5,,,6,10,0,,,,,,,,,,,,,0,6,7,,,6,3,0,,,6,9,4,,
1907043,10,7,9,,,3,3,5,,,5,6,1,,,,,,,,,,,,,5,2,6,,,5,0,3,,,2,9,1,,
1907044,9,1,3,,,2,1,8,,,8,10,8,,,,,,,,,,,,,0,9,10,,,7,1,5,,,9,3,10,,
1907045,5,7,5,,,0,9,3,,,4,7,3,,,,,,,,,,,,,6,4,6,,,8,8,4,,,6,9,1,,
1907046,7,7,1,,,1,8,6,,,2,5,4,,,,,,,,,,,,,1,10,1,,,8,5,3,,,1,1,6,,
1907047,0,5,1,,,10,0,6,,,9,5,10,,,,,,,,,,,,,6,8,9,,,7,1,10,,,2,1,0,,
1907048,1,5,5,,,8,0,6,,,2,10,7,,,,,,,,,,,,,0,0,6,,,0,4,6,,,10,0,4,,
1907049,3,8,0,,,3,2,9,,,5,1,6,,,,,,,,,,,,,3,5,3,,,8,10,5,,,6,8,10,,
1907050,4,9,7,,,8,10,7,,,7,7,0,,,,,,,,,,,,,8,7,9,,,4,6,8,,,8,8,1,,
1907051,8,2,0,,,8,0,7,,,7,9,7,,,,,,,,,,,,,4,1,1,,,3,8,5,,,2,1,1,,
1907052,6,5,5,,,5,9,10,,,7,0,1,,,,,,,,,,,,,10,7,10,,,3,3,0,,,1,10,10,,
1907053,0,7,10,,,7,2,1,,,8,0,8,,,,,,,,,,,,,7,7,7,,,10,4,3,,,10,9,7,,
1907054,7,0,0,,,0,4,3,,,5,4,7,,,,,,,,,,,,,5,1,6,,,5,3,5,,,8,8,1,,
1907055,4,6,2,,,9,3,1,,,6,2,10,,,,,,,,,,,,,1,3,0,,,0,9,2,,,9,6,0,,
